scientificName,longitude,latitude,pr_ab,dnw,dsm,lst,ndvi,.part
"Gyps africanus Salvadori, 1865",31.739765,-24.964327,1,0.247376651,243.2175293,304.4901123,149.1547546,1
"Gyps africanus Salvadori, 1865",31.71755,-25.31481,1,0.333469808,227.127655,309.0620117,123.0465393,1
"Gyps africanus Salvadori, 1865",31.715666,-25.312044,1,0.223628402,226.6177521,308.7814941,123.3659363,4
"Gyps africanus Salvadori, 1865",31.713276,-25.309916,1,0.2236325,227.2272034,308.706665,123.1688309,3
"Gyps africanus Salvadori, 1865",31.661217,-24.947224,1,1.121482968,272.4526062,308.7862854,132.9968414,5
"Gyps africanus Salvadori, 1865",31.669899,-24.946198,1,0.2242966,259.237854,308.9277039,125.5443878,5
"Gyps africanus Salvadori, 1865",31.218582,-22.411551,1,0.336889863,223.8419037,310.9352417,105.0369644,3
"Gyps africanus Salvadori, 1865",31.933816,-25.156796,1,0,176.651886,306.385498,103.5249634,3
"Gyps africanus Salvadori, 1865",31.683858,-25.299857,1,0.666980863,262.1719971,307.1408081,111.625824,1
"Gyps africanus Salvadori, 1865",31.513201,-23.910528,1,0.742129922,321.5169067,306.2035217,116.2533875,1
"Gyps africanus Salvadori, 1865",31.792087,-24.605143,1,1.789102674,330.4943848,306.5204773,110.1852112,1
"Gyps africanus Salvadori, 1865",31.243873,-22.423752,1,1.236883283,225.1187897,308.7770081,108.1435318,2
"Gyps africanus Salvadori, 1865",31.244027,-22.423795,1,1.236883283,225.1187897,308.7770081,108.1435318,1
"Gyps africanus Salvadori, 1865",31.243847,-22.423767,1,1.236883283,225.1187897,308.7770081,108.1435318,5
"Gyps africanus Salvadori, 1865",31.307197,-22.426098,1,1.143335938,210.6567383,308.5591125,104.0120392,4
"Gyps africanus Salvadori, 1865",31.17874,-22.627063,1,2.019850254,430.1566467,308.353241,102.810524,3
"Gyps africanus Salvadori, 1865",31.15358,-22.749037,1,0.228132844,387.6177368,306.5553589,132.5172272,2
"Gyps africanus Salvadori, 1865",31.156407,-22.747238,1,0.228136554,391.0014343,306.7862549,133.0882568,1
"Gyps africanus Salvadori, 1865",31.539963,-23.203878,1,0.335992455,254.2603455,307.2548523,114.4091568,2
"Gyps africanus Salvadori, 1865",31.539978,-23.203848,1,0.335992455,254.2603455,307.2548523,114.4091568,4
"Gyps africanus Salvadori, 1865",31.53999,-23.203838,1,0.335992455,254.2603455,307.2548523,114.4091568,4
"Gyps africanus Salvadori, 1865",31.784122,-24.57893,1,3.391603708,347.9513855,304.9048157,110.783844,2
"Gyps africanus Salvadori, 1865",31.617205,-25.162979,1,4.322805882,360.9263916,307.9942932,117.0149612,4
"Gyps africanus Salvadori, 1865",31.917811,-25.120725,1,0.223979935,182.2741241,306.3740845,108.4579391,2
"Gyps africanus Salvadori, 1865",31.918931,-25.124878,1,0.54308933,191.1656799,306.1697083,108.0208664,3
"Gyps africanus Salvadori, 1865",31.100972,-22.568206,1,0.456864476,334.2179565,309.3798218,112.7918854,3
"Gyps africanus Salvadori, 1865",31.514761,-25.414728,1,2.473766565,352.5077209,308.9371338,115.8055191,4
"Gyps africanus Salvadori, 1865",31.728694,-24.389272,1,1.167427778,317.0422974,306.957428,70.11669922,3
"Gyps africanus Salvadori, 1865",31.424586,-23.098618,1,0.247376651,280.3377991,308.100647,99.96864319,1
"Gyps africanus Salvadori, 1865",31.973949,-25.232923,1,1.334302306,213.5837402,305.3748779,94.29620361,1
"Gyps africanus Salvadori, 1865",31.949088,-25.190409,1,1.334466815,213.4680481,306.8889771,106.4718323,1
"Gyps africanus Salvadori, 1865",31.781922,-25.013755,1,0.224175051,226.6289063,305.0134888,124.3570862,1
"Gyps africanus Salvadori, 1865",31.67801,-24.943293,1,0.494753301,260.3880005,308.0452576,134.2332458,2
"Gyps africanus Salvadori, 1865",31.589232,-25.033121,1,1.793108106,342.5367737,307.1019287,136.7544861,4
"Gyps africanus Salvadori, 1865",31.401515,-23.506677,1,0.516757488,352.6538391,305.7417603,137.5309448,2
"Gyps africanus Salvadori, 1865",31.735218,-24.064541,1,1.316806197,208.6463013,306.3234253,117.6914825,2
"Gyps africanus Salvadori, 1865",31.9540958,-25.2225234,0,0.989506602,211.5065155,307.8507385,102.0194626,3
"Gyps africanus Salvadori, 1865",31.69947527,-24.11089047,0,1.377153993,269.6040649,309.5464783,117.6336212,3
"Gyps africanus Salvadori, 1865",31.59837426,-24.0680497,0,0.721355021,244.9248962,305.7524414,109.217247,5
"Gyps africanus Salvadori, 1865",31.50089948,-23.59781079,0,2.946977615,341.7266846,306.56073,149.5190582,5
"Gyps africanus Salvadori, 1865",31.57794333,-24.53668657,0,1.951594234,399.1079712,308.2250671,108.9710159,5
"Gyps africanus Salvadori, 1865",31.23327824,-23.46780213,0,4.743591785,430.7153931,306.1578979,107.2873459,4
"Gyps africanus Salvadori, 1865",31.7102091,-24.20413017,0,2.495941877,309.7385254,307.482666,110.1047821,3
"Gyps africanus Salvadori, 1865",31.58669203,-23.78674004,0,1.868078947,264.759613,307.6140442,128.7861938,2
"Gyps africanus Salvadori, 1865",31.55161013,-23.37789902,0,4.087244511,372.7824097,306.1296387,125.8997345,1
"Gyps africanus Salvadori, 1865",31.68710602,-25.33102253,0,2.171750546,268.2613831,307.223877,127.2460175,3
"Gyps africanus Salvadori, 1865",31.41311766,-25.01932505,0,2.960808992,395.4611816,307.2232666,142.3854523,4
"Gyps africanus Salvadori, 1865",31.34426635,-23.91382564,0,4.968155861,436.0756531,305.1296692,133.4650116,5
"Gyps africanus Salvadori, 1865",31.85308501,-24.68824682,0,3.803821802,307.9731445,303.2564087,126.0036316,2
"Gyps africanus Salvadori, 1865",31.8533741,-25.03154402,0,1.997963428,247.0957794,305.6640015,143.1140594,2
"Gyps africanus Salvadori, 1865",31.47377507,-24.17842582,0,3.696086645,412.5513611,306.3012085,85.66921234,4
"Gyps africanus Salvadori, 1865",31.21969563,-23.53032841,0,3.63734293,402.6651306,309.0112305,108.1597824,2
"Gyps africanus Salvadori, 1865",31.17900667,-22.93106057,0,1.175245285,348.5774841,305.8569031,131.6219788,2
"Gyps africanus Salvadori, 1865",31.46037757,-23.71914555,0,2.565360785,310.7515259,305.996582,126.6371765,4
"Gyps africanus Salvadori, 1865",31.42330568,-25.10307343,0,4.45277977,459.0370789,306.9906006,134.123642,5
"Gyps africanus Salvadori, 1865",31.23656032,-24.00222938,0,0.742129922,357.940033,303.624115,110.2552795,3
"Gyps africanus Salvadori, 1865",31.56796382,-23.75631495,0,2.176428318,289.4491882,306.001709,132.2431335,4
"Gyps africanus Salvadori, 1865",31.46634273,-23.38741656,0,1.882576108,357.9931641,305.9788513,132.3274841,1
"Gyps africanus Salvadori, 1865",31.91392139,-24.97026354,0,0.89700824,291.4677734,307.1145935,135.9499512,2
"Gyps africanus Salvadori, 1865",31.33215049,-24.01480928,0,0.543910027,312.9859314,305.9488831,128.4327698,5
"Gyps africanus Salvadori, 1865",31.85795979,-24.8462963,0,1.346870184,302.7161255,307.9819641,122.7257996,4
"Gyps africanus Salvadori, 1865",31.09214332,-22.95157376,0,4.239462852,423.5525818,303.9423523,136.5356903,1
"Gyps africanus Salvadori, 1865",31.62035948,-24.05223835,0,1.169300556,258.4947815,303.2062378,98.15878296,4
"Gyps africanus Salvadori, 1865",31.29900106,-23.71578051,0,0.247376651,285.4217224,306.0105591,105.9905853,1
"Gyps africanus Salvadori, 1865",31.51007679,-23.56029209,0,3.174581528,343.1443481,305.0395813,142.3170013,5
"Gyps africanus Salvadori, 1865",31.11468679,-22.86196881,0,0.518681943,377.2444458,308.0502319,130.1584778,2
"Gyps africanus Salvadori, 1865",31.07426952,-23.28237024,0,2.271838188,450.7485657,307.4598083,120.1545639,4
